learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
410000.0,6.084039,1.2011671422045265E-6,410000.0,92.4209756097561,84.44108134526319,84.47115264486145,82.02599445868015,410000.0,1307824.0,503.0,318.0,318.0,7.0,0.0,0.0,1.0
420000.0,6.2556401,1.260700014692421E-6,420000.0,92.47595238095239,84.55374797383726,84.57976304335098,82.15419193801603,420000.0,1341032.0,515.0,324.0,324.0,7.0,0.0,0.0,1.0
430000.0,6.4116411,1.3156173048700312E-6,430000.0,92.53418604651162,84.67279890770645,84.69616867917871,82.28956340405811,430000.0,1360768.0,523.0,328.0,328.0,7.0,0.0,0.0,1.0
440000.0,6.5832422,1.3767067849861667E-6,440000.0,92.58931818181819,84.78459846692182,84.80731328888331,82.413949324215,440000.0,1376096.0,531.0,332.0,332.0,7.0,0.0,0.0,1.0
450000.0,6.7548433,1.4399427712636278E-6,450000.0,92.64244444444445,84.89361594597347,84.91280513645417,82.53763145958376,450000.0,1424448.0,555.0,347.0,347.0,7.0,0.0,0.0,1.0
460000.0,6.9264444,1.5044036582277884E-6,460000.0,92.69391304347826,84.99933189716606,85.01135030750636,82.65814228290428,460000.0,1452040.0,563.0,351.0,351.0,7.0,0.0,0.0,1.0
470000.0,7.0980455,1.5697953844786521E-6,470000.0,92.74723404255319,85.10840160099139,85.11668522278255,82.78183829434734,470000.0,1473008.0,571.0,355.0,355.0,7.0,0.0,0.0,1.0
480000.0,7.2852467,1.6421073685905174E-6,480000.0,92.7975,85.2106509986569,85.21325554738158,82.89624055686659,480000.0,1493152.0,586.0,364.0,364.0,7.0,0.0,0.0,1.0
490000.0,7.4568478,1.7095145519005344E-6,490000.0,92.85122448979591,85.32115909730152,85.32368011999479,83.0244729827962,490000.0,1518408.0,592.0,367.0,367.0,7.0,0.0,0.0,1.0
500000.0,7.6284489,1.7776082336238277E-6,500000.0,92.8996,85.41943319649404,85.42287699243676,83.13404118862681,500000.0,1533872.0,598.0,370.0,370.0,7.0,0.0,0.0,1.0
510000.0,7.7844499,1.83987479877741E-6,510000.0,92.95019607843138,85.52459028628697,85.52926024309747,83.25883295151887,510000.0,1542872.0,604.0,373.0,373.0,7.0,0.0,0.0,1.0
